"state","sex","year","total","daily"
"Illinois","Females",2005,20.79,15.43
"Illinois","Both",2005,23.89,17.23
"Illinois","Males",2006,26.43,18.62
"Illinois","Females",2006,20.56,15.01
"Illinois","Both",2006,23.44,16.78
"Illinois","Males",2007,25.5,17.77
"Illinois","Females",2007,20.26,14.45
"Illinois","Both",2007,22.83,16.08
"Illinois","Males",2008,25.56,17.73
"Illinois","Females",2008,19.67,13.94
"Illinois","Both",2008,22.56,15.8
"Illinois","Males",2009,24.92,17.25
"Illinois","Females",2009,19.32,13.65
"Illinois","Both",2009,22.07,15.42
"Illinois","Males",2010,24.22,16.64
"Illinois","Females",2010,18.8,13.09
"Illinois","Both",2010,21.46,14.83
"Illinois","Males",2011,22.5,15.51
"Illinois","Females",2011,18.13,12.96
"Illinois","Both",2011,20.28,14.21
"Illinois","Males",2012,21.92,14.89
"Illinois","Females",2012,17.71,12.52
"Illinois","Both",2012,19.78,13.68
"Indiana","Males",1996,31.93,27.67
"Indiana","Females",1996,26.01,22.28
"Indiana","Both",1996,28.92,24.93
"Indiana","Males",1997,31.87,27.19
"Indiana","Females",1997,26.02,22.15
"Indiana","Both",1997,28.89,24.63
"Indiana","Males",1998,31.83,26.74
"Indiana","Females",1998,26.06,22.03
"Indiana","Both",1998,28.89,24.34
"Indiana","Males",1999,32.02,26.46
"Indiana","Females",1999,26.33,21.91
"Indiana","Both",1999,29.12,24.14
"Indiana","Males",2000,31.56,25.92
"Indiana","Females",2000,26.48,21.84
"Indiana","Both",2000,28.98,23.84
"Indiana","Males",2001,31.54,25.81
"Indiana","Females",2001,26.62,21.87
"Indiana","Both",2001,29.03,23.8
"Indiana","Males",2002,31.49,25.5
"Indiana","Females",2002,26.83,21.76
"Indiana","Both",2002,29.12,23.6
"Indiana","Males",2003,30.6,24.37
"Indiana","Females",2003,26.29,20.85
"Indiana","Both",2003,28.41,22.58
"Indiana","Males",2004,29.91,23.73
"Indiana","Females",2004,25.8,20.37
"Indiana","Both",2004,27.81,22.02
"Indiana","Males",2005,29.58,23.15
"Indiana","Females",2005,25.74,20.11
"Indiana","Both",2005,27.63,21.6
"Indiana","Males",2006,29.29,22.84
"Indiana","Females",2006,25.8,19.93
"Indiana","Both",2006,27.52,21.36
"Indiana","Males",2007,29.2,22.64
"Indiana","Females",2007,25.95,19.87
"Indiana","Both",2007,27.54,21.23
"Indiana","Males",2008,28.02,21.41
"Indiana","Females",2008,24.65,18.81
"Indiana","Both",2008,26.31,20.09
"Indiana","Males",2009,27.9,21.3
"Indiana","Females",2009,24.36,18.58
"Indiana","Both",2009,26.1,19.91
"Indiana","Males",2010,27.8,20.91
"Indiana","Females",2010,23.86,17.91
"Indiana","Both",2010,25.79,19.39
"Indiana","Males",2011,27.32,20.74
"Indiana","Females",2011,23.24,17.64
"Indiana","Both",2011,25.24,19.16
"Indiana","Males",2012,26.43,19.74
"Indiana","Females",2012,22.54,16.86
"Indiana","Both",2012,24.45,18.27
"Iowa","Males",1996,28.12,23.86
"Iowa","Females",1996,23.11,19.45
"Iowa","Both",1996,25.57,21.61
"Iowa","Males",1997,27.98,23.39
"Iowa","Females",1997,23.11,19.29
"Iowa","Both",1997,25.5,21.3
"Iowa","Males",1998,27.9,22.97
"Iowa","Females",1998,23.15,19.12
"Iowa","Both",1998,25.48,21.01
"Iowa","Males",1999,27.73,22.43
"Iowa","Females",1999,23.25,18.93
"Iowa","Both",1999,25.45,20.65
"Iowa","Males",2000,27.81,22.28
"Iowa","Females",2000,23.22,18.8
"Iowa","Both",2000,25.47,20.51
"Iowa","Males",2001,27.59,22.14
"Iowa","Females",2001,23.11,18.46
"Iowa","Both",2001,25.31,20.27
"Iowa","Males",2002,27.04,21.56
"Iowa","Females",2002,22.87,18.22
"Iowa","Both",2002,24.92,19.86
"Iowa","Males",2003,26.62,21.08
"Iowa","Females",2003,22.9,18.01
"Iowa","Both",2003,24.72,19.52
"Iowa","Males",2004,26.36,20.83
"Iowa","Females",2004,22.81,17.85
"Iowa","Both",2004,24.56,19.31
"Iowa","Males",2005,25.78,20.09
"Iowa","Females",2005,22.54,17.41
"Iowa","Both",2005,24.13,18.73
"Iowa","Males",2006,25.46,19.67
"Iowa","Females",2006,22.21,17.04
"Iowa","Both",2006,23.81,18.33
"Iowa","Males",2007,24.97,19.16
"Iowa","Females",2007,21.52,16.43
"Iowa","Both",2007,23.22,17.77
"Iowa","Males",2008,24.4,18.44
"Iowa","Females",2008,20.56,15.63
"Iowa","Both",2008,22.45,17.01
"Iowa","Males",2009,23.76,17.71
"Iowa","Females",2009,19.81,15.1
"Iowa","Both",2009,21.75,16.38
"Iowa","Males",2010,23.5,17.42
"Iowa","Females",2010,19.4,14.7
"Iowa","Both",2010,21.41,16.04
"Iowa","Males",2011,22.85,16.91
"Iowa","Females",2011,19.66,15.04
"Iowa","Both",2011,21.22,15.96
"Iowa","Males",2012,22.18,16.17
"Iowa","Females",2012,19.16,14.47
"Iowa","Both",2012,20.64,15.3
"Kansas","Males",1996,26.62,22.57
"Kansas","Females",1996,21.01,17.79
"Kansas","Both",1996,23.76,20.14
"Kansas","Males",1997,26.53,22.14
"Kansas","Females",1997,21.03,17.69
"Kansas","Both",1997,23.73,19.87
"Kansas","Males",1998,26.34,21.62
"Kansas","Females",1998,21.04,17.51
"Kansas","Both",1998,23.64,19.53
"Kansas","Males",1999,26.1,20.88
"Kansas","Females",1999,21.5,17.47
"Kansas","Both",1999,23.76,19.14
"Kansas","Males",2000,25.94,20.53
"Kansas","Females",2000,21.8,17.57
"Kansas","Both",2000,23.83,19.02
"Kansas","Males",2001,26.01,20.58
"Kansas","Females",2001,22.29,17.88
"Kansas","Both",2001,24.12,19.2
"Kansas","Males",2002,26.29,20.55
"Kansas","Females",2002,22.36,17.65
"Kansas","Both",2002,24.29,19.07
"Kansas","Males",2003,25.06,19.3
"Kansas","Females",2003,21.71,16.92
"Kansas","Both",2003,23.35,18.09
"Kansas","Males",2004,24.95,19.14
"Kansas","Females",2004,21.49,16.81
"Kansas","Both",2004,23.19,17.95
"Kansas","Males",2005,24.66,18.75
"Kansas","Females",2005,21.29,16.58
"Kansas","Both",2005,22.95,17.65
"Kansas","Males",2006,24.59,18.56
"Kansas","Females",2006,21.12,16.29
"Kansas","Both",2006,22.82,17.41
"Kansas","Males",2007,23.97,17.97
"Kansas","Females",2007,21,16.05
"Kansas","Both",2007,22.45,16.99
"Kansas","Males",2008,23.92,17.83
"Kansas","Females",2008,20.87,15.89
"Kansas","Both",2008,22.37,16.84
"Kansas","Males",2009,23.81,17.71
"Kansas","Females",2009,20.47,15.56
"Kansas","Both",2009,22.11,16.62
"Kansas","Males",2010,23.57,17.32
"Kansas","Females",2010,20.16,15.12
"Kansas","Both",2010,21.84,16.2
"Kansas","Males",2011,23.46,17.18
"Kansas","Females",2011,19.75,14.91
"Kansas","Both",2011,21.57,16.03
"Kansas","Males",2012,22.89,16.55
"Kansas","Females",2012,19.32,14.43
"Kansas","Both",2012,21.07,15.47
"Kentucky","Males",1996,35.07,31.91
"Kentucky","Females",1996,28.86,25.9
"Kentucky","Both",1996,31.91,28.85
"Kentucky","Males",1997,35.53,32.04
"Kentucky","Females",1997,29.22,25.99
"Kentucky","Both",1997,32.32,28.96
"Kentucky","Males",1998,34.51,30.47
"Kentucky","Females",1998,28.69,25.22
"Kentucky","Both",1998,31.55,27.8
"Kentucky","Males",1999,34.31,29.91
"Kentucky","Females",1999,28.84,25.08
"Kentucky","Both",1999,31.52,27.45
"Kentucky","Males",2000,34.25,29.72
"Kentucky","Females",2000,28.91,24.88
"Kentucky","Both",2000,31.53,27.26
"Kentucky","Males",2001,33.65,28.83
"Kentucky","Females",2001,28.69,24.49
"Kentucky","Both",2001,31.13,26.63
"Kentucky","Males",2002,32.43,27.24
"Kentucky","Females",2002,28.4,23.85
"Kentucky","Both",2002,30.37,25.51
"Kentucky","Males",2003,33.84,28.32
"Kentucky","Females",2003,29.05,24.27
"Kentucky","Both",2003,31.4,26.26
"Kentucky","Males",2004,33.17,27.71
"Kentucky","Females",2004,28.72,23.88
"Kentucky","Both",2004,30.9,25.76
"Kentucky","Males",2005,32.83,26.96
"Kentucky","Females",2005,28.81,23.81
"Kentucky","Both",2005,30.78,25.35
"Kentucky","Males",2006,30.79,24.79
"Kentucky","Females",2006,27.65,22.29
"Kentucky","Both",2006,29.19,23.52
"Kentucky","Males",2007,31.03,24.73
"Kentucky","Females",2007,27.99,22.47
"Kentucky","Both",2007,29.48,23.58
"Kentucky","Males",2008,30.8,24.55
"Kentucky","Females",2008,28.12,22.65
"Kentucky","Both",2008,29.44,23.58
"Kentucky","Males",2009,30.03,23.65
"Kentucky","Females",2009,27.41,22.11
"Kentucky","Both",2009,28.7,22.87
"Kentucky","Males",2010,29.81,23.13
"Kentucky","Females",2010,26.85,21.31
"Kentucky","Both",2010,28.31,22.2
"Kentucky","Males",2011,29.71,23.4
"Kentucky","Females",2011,26.74,21.6
"Kentucky","Both",2011,28.2,22.48
"Kentucky","Males",2012,28.77,22.32
"Kentucky","Females",2012,25.97,20.7
"Kentucky","Both",2012,27.35,21.5
"Louisiana","Males",1996,30.83,25.89
"Louisiana","Females",1996,22.95,19.03
"Louisiana","Both",1996,26.82,22.39
"Louisiana","Males",1997,30.69,25.43
"Louisiana","Females",1997,22.99,18.84
"Louisiana","Both",1997,26.77,22.07
"Louisiana","Males",1998,30.41,24.86
"Louisiana","Females",1998,23.01,18.66
"Louisiana","Both",1998,26.64,21.71
"Louisiana","Males",1999,30.34,24.35
"Louisiana","Females",1999,23.1,18.38
"Louisiana","Both",1999,26.66,21.31
"Louisiana","Males",2000,30.45,24.47
"Louisiana","Females",2000,23.48,18.74
"Louisiana","Both",2000,26.91,21.55
"Louisiana","Males",2001,29.72,23.33
"Louisiana","Females",2001,23.3,18.26
"Louisiana","Both",2001,26.45,20.75
"Louisiana","Males",2002,30.61,23.72
"Louisiana","Females",2002,23.87,18.53
"Louisiana","Both",2002,27.18,21.08
"Louisiana","Males",2003,30.09,22.77
"Louisiana","Females",2003,23.56,18.14
"Louisiana","Both",2003,26.77,20.41
"Louisiana","Males",2004,30.16,22.7
"Louisiana","Females",2004,23.7,18.27
"Louisiana","Both",2004,26.87,20.45
"Louisiana","Males",2005,30.55,22.77
"Louisiana","Females",2005,23.92,18.19
"Louisiana","Both",2005,27.17,20.43
"Louisiana","Males",2006,29.27,21.71
"Louisiana","Females",2006,22.99,17.61
"Louisiana","Both",2006,26.07,19.62
"Louisiana","Males",2007,29.82,22.23
"Louisiana","Females",2007,23.01,17.69
"Louisiana","Both",2007,26.35,19.92
"Louisiana","Males",2008,29.8,22.37
"Louisiana","Females",2008,22.92,17.57
"Louisiana","Both",2008,26.3,19.93
"Louisiana","Males",2009,29.39,21.91
"Louisiana","Females",2009,22.78,17.47
"Louisiana","Both",2009,26.03,19.65
"Louisiana","Males",2010,28.93,21.28
"Louisiana","Females",2010,22.47,17.15
"Louisiana","Both",2010,25.64,19.18
"Louisiana","Males",2011,28.96,21.33
"Louisiana","Females",2011,22.95,17.79
"Louisiana","Both",2011,25.9,19.53
"Louisiana","Males",2012,27.87,20.15
"Louisiana","Females",2012,22.15,16.87
"Louisiana","Both",2012,24.96,18.48
"Maine","Males",1996,27.34,24.26
"Maine","Females",1996,23.12,20.19
"Maine","Both",1996,25.19,22.19
"Maine","Males",1997,27.28,23.91
"Maine","Females",1997,23.33,20.22
"Maine","Both",1997,25.27,22.03
"Maine","Males",1998,26.78,23.07
"Maine","Females",1998,23.23,20
"Maine","Both",1998,24.97,21.51
"Maine","Males",1999,26.57,22.19
"Maine","Females",1999,22.83,19.24
"Maine","Both",1999,24.66,20.69
"Maine","Males",2000,26.73,22.03
"Maine","Females",2000,23.02,19.19
"Maine","Both",2000,24.84,20.58
"Maine","Males",2001,27.08,22.3
"Maine","Females",2001,23.62,19.52
"Maine","Both",2001,25.32,20.88
"Maine","Males",2002,26.92,21.88
"Maine","Females",2002,23.2,18.94
"Maine","Both",2002,25.03,20.38
"Maine","Males",2003,27.01,21.57
"Maine","Females",2003,22.46,17.76
"Maine","Both",2003,24.69,19.63
"Maine","Males",2004,26.11,20.73
"Maine","Females",2004,22.49,17.85
"Maine","Both",2004,24.27,19.26
"Maine","Males",2005,26.31,20.77
"Maine","Females",2005,22.73,17.92
"Maine","Both",2005,24.49,19.32
"Maine","Males",2006,25.86,20.05
"Maine","Females",2006,21.62,16.9
"Maine","Both",2006,23.7,18.45
"Maine","Males",2007,25.08,19.13
"Maine","Females",2007,21.34,16.4
"Maine","Both",2007,23.18,17.74
"Maine","Males",2008,24.5,18.59
"Maine","Females",2008,21.07,16.19
"Maine","Both",2008,22.76,17.37
"Maine","Males",2009,24.46,18.6
"Maine","Females",2009,20.37,15.5
"Maine","Both",2009,22.38,17.02
"Maine","Males",2010,24.12,18.12
"Maine","Females",2010,19.87,14.91
"Maine","Both",2010,21.96,16.49
"Maine","Males",2011,24.51,18.54
"Maine","Females",2011,19.63,14.8
"Maine","Both",2011,22.03,16.64
"Maine","Males",2012,23.76,17.7
"Maine","Females",2012,19.1,14.19
"Maine","Both",2012,21.39,15.91
"Maryland","Males",1996,24.72,20.12
"Maryland","Females",1996,20.88,17.27
"Maryland","Both",1996,22.76,18.66
"Maryland","Males",1997,24.46,19.53
"Maryland","Females",1997,20.77,16.9
"Maryland","Both",1997,22.58,18.19
"Maryland","Males",1998,24.34,19.09
"Maryland","Females",1998,20.69,16.58
"Maryland","Both",1998,22.48,17.81
"Maryland","Males",1999,24.75,19.05
"Maryland","Females",1999,20.22,15.89
"Maryland","Both",1999,22.44,17.44
"Maryland","Males",2000,24.72,18.35
"Maryland","Females",2000,19.98,15.35
"Maryland","Both",2000,22.3,16.82
"Maryland","Males",2001,25.25,19.18
"Maryland","Females",2001,19.93,15.14
"Maryland","Both",2001,22.54,17.12
"Maryland","Males",2002,25.9,19.5
"Maryland","Females",2002,19.89,14.85
"Maryland","Both",2002,22.84,17.13
"Maryland","Males",2003,25.04,18.75
"Maryland","Females",2003,19.66,14.53
"Maryland","Both",2003,22.3,16.6
"Maryland","Males",2004,24.43,18.2
"Maryland","Females",2004,19.67,14.57
"Maryland","Both",2004,22.01,16.35
"Maryland","Males",2005,23.67,17.39
"Maryland","Females",2005,19.53,14.28
"Maryland","Both",2005,21.57,15.81
"Maryland","Males",2006,22.65,16.37
"Maryland","Females",2006,18.98,13.83
"Maryland","Both",2006,20.78,15.08
"Maryland","Males",2007,21.91,15.76
"Maryland","Females",2007,18.56,13.44
"Maryland","Both",2007,20.21,14.58
"Maryland","Males",2008,21.25,15.05
"Maryland","Females",2008,17.67,12.72
"Maryland","Both",2008,19.43,13.87
"Maryland","Males",2009,20.73,14.53
"Maryland","Females",2009,17.03,12.21
"Maryland","Both",2009,18.85,13.35
"Maryland","Males",2010,20.46,14.22
"Maryland","Females",2010,16.61,11.79
"Maryland","Both",2010,18.5,12.98
"Maryland","Males",2011,20.86,14.45
"Maryland","Females",2011,16.76,12.1
"Maryland","Both",2011,18.78,13.26
"Maryland","Males",2012,20.26,13.81
"Maryland","Females",2012,16.32,11.63
"Maryland","Both",2012,18.26,12.7
"Massachusetts","Males",1996,23.64,19.73
"Massachusetts","Females",1996,22.13,17.82
"Massachusetts","Both",1996,22.87,18.76
"Massachusetts","Males",1997,23.11,18.89
"Massachusetts","Females",1997,21.89,17.45
"Massachusetts","Both",1997,22.49,18.16
"Massachusetts","Males",1998,22.96,18.43
"Massachusetts","Females",1998,21.83,17.21
"Massachusetts","Both",1998,22.39,17.81
"Massachusetts","Males",1999,22.55,17.96
"Massachusetts","Females",1999,21.66,17.11
"Massachusetts","Both",1999,22.1,17.52
"Massachusetts","Males",2000,22.68,17.86
"Massachusetts","Females",2000,21.71,16.71
"Massachusetts","Both",2000,22.18,17.28
"Massachusetts","Males",2001,22.65,17.88
"Massachusetts","Females",2001,21.79,16.58
"Massachusetts","Both",2001,22.21,17.22
"Massachusetts","Males",2002,22.79,17.7
"Massachusetts","Females",2002,21.73,16.41
"Massachusetts","Both",2002,22.25,17.04
"Massachusetts","Males",2003,22.37,17.32
"Massachusetts","Females",2003,21.65,16.3
"Massachusetts","Both",2003,22,16.8
"Massachusetts","Males",2004,22.56,17.46
"Massachusetts","Females",2004,21.01,15.83
"Massachusetts","Both",2004,21.77,16.63
"Massachusetts","Males",2005,22.25,16.81
"Massachusetts","Females",2005,20.63,15.63
"Massachusetts","Both",2005,21.43,16.21
"Massachusetts","Males",2006,21.83,16.25
"Massachusetts","Females",2006,19.94,14.98
"Massachusetts","Both",2006,20.86,15.6
"Massachusetts","Males",2007,21.4,15.91
"Massachusetts","Females",2007,19.47,14.61
"Massachusetts","Both",2007,20.42,15.25
"Massachusetts","Males",2008,20.96,15.43
"Massachusetts","Females",2008,18.6,13.85
"Massachusetts","Both",2008,19.76,14.63
"Massachusetts","Males",2009,20.27,14.77
"Massachusetts","Females",2009,18.19,13.38
"Massachusetts","Both",2009,19.21,14.07
"Massachusetts","Males",2010,20.29,14.74
"Massachusetts","Females",2010,17.89,13.01
"Massachusetts","Both",2010,19.07,13.86
"Massachusetts","Males",2011,20.59,14.81
"Massachusetts","Females",2011,17.86,13.05
"Massachusetts","Both",2011,19.2,13.91
"Massachusetts","Males",2012,19.97,14.14
"Massachusetts","Females",2012,17.36,12.52
"Massachusetts","Both",2012,18.64,13.31
"Michigan","Males",1996,28.73,23.99
"Michigan","Females",1996,25.08,20.76
"Michigan","Both",1996,26.87,22.35
"Michigan","Males",1997,28.2,23.12
"Michigan","Females",1997,24.75,20.24
"Michigan","Both",1997,26.44,21.65
"Michigan","Males",1998,27.94,22.56
"Michigan","Females",1998,24.61,19.9
"Michigan","Both",1998,26.24,21.2
"Michigan","Males",1999,28.37,22.55
"Michigan","Females",1999,25.01,19.98
"Michigan","Both",1999,26.66,21.24
"Michigan","Males",2000,28.37,22.53
"Michigan","Females",2000,25.02,20.02
"Michigan","Both",2000,26.66,21.25
"Michigan","Males",2001,28.23,22.22
"Michigan","Females",2001,24.8,19.57
"Michigan","Both",2001,26.49,20.87
"Michigan","Males",2002,28.39,22.01
"Michigan","Females",2002,24.71,19.23
"Michigan","Both",2002,26.52,20.6
"Michigan","Males",2003,28.23,21.69
"Michigan","Females",2003,24.34,18.73
"Michigan","Both",2003,26.25,20.18
"Michigan","Males",2004,27.88,21.31
"Michigan","Females",2004,23.94,18.27
"Michigan","Both",2004,25.87,19.76
"Michigan","Males",2005,27,20.35
"Michigan","Females",2005,23.24,17.49
"Michigan","Both",2005,25.09,18.89
"Michigan","Males",2006,26.48,19.71
"Michigan","Females",2006,22.91,17.24
"Michigan","Both",2006,24.66,18.45
"Michigan","Males",2007,26.03,19.25
"Michigan","Females",2007,22.77,16.93
"Michigan","Both",2007,24.37,18.07
"Michigan","Males",2008,25.5,18.75
"Michigan","Females",2008,22.47,16.4
"Michigan","Both",2008,23.96,17.55
"Michigan","Males",2009,25.21,18.49
"Michigan","Females",2009,22.01,16.12
"Michigan","Both",2009,23.58,17.28
"Michigan","Males",2010,25.18,18.13
"Michigan","Females",2010,22.22,16.05
"Michigan","Both",2010,23.67,17.07
"Michigan","Males",2011,24.86,18
"Michigan","Females",2011,22.03,16.18
"Michigan","Both",2011,23.42,17.07
"Michigan","Males",2012,24.18,17.28
"Michigan","Females",2012,21.53,15.62
"Michigan","Both",2012,22.83,16.44
"Minnesota","Males",1996,24.35,19.77
"Minnesota","Females",1996,20.04,15.92
"Minnesota","Both",1996,22.16,17.81
"Minnesota","Males",1997,24.32,19.47
"Minnesota","Females",1997,19.98,15.78
"Minnesota","Both",1997,22.11,17.59
"Minnesota","Males",1998,24.11,19
"Minnesota","Females",1998,19.85,15.55
"Minnesota","Both",1998,21.94,17.24
"Minnesota","Males",1999,24.63,19.44
"Minnesota","Females",1999,20.19,15.62
"Minnesota","Both",1999,22.37,17.5
"Minnesota","Males",2000,24.53,19.06
"Minnesota","Females",2000,20.23,15.44
"Minnesota","Both",2000,22.34,17.22
"Minnesota","Males",2001,24.82,19.23
"Minnesota","Females",2001,21.08,16.22
"Minnesota","Both",2001,22.92,17.7
"Minnesota","Males",2002,25.25,19.19
"Minnesota","Females",2002,21.65,16.35
"Minnesota","Both",2002,23.42,17.74
"Minnesota","Males",2003,25.36,19.24
"Minnesota","Females",2003,21.52,16.04
"Minnesota","Both",2003,23.4,17.61
"Minnesota","Males",2004,24.59,18.61
"Minnesota","Females",2004,21.25,15.9
"Minnesota","Both",2004,22.89,17.23
"Minnesota","Males",2005,23.61,17.74
"Minnesota","Females",2005,20.66,15.38
"Minnesota","Both",2005,22.1,16.54
"Minnesota","Males",2006,23.04,17.08
"Minnesota","Females",2006,20.04,14.67
"Minnesota","Both",2006,21.51,15.85
"Minnesota","Males",2007,22.54,16.67
"Minnesota","Females",2007,19.37,14.1
"Minnesota","Both",2007,20.93,15.36
"Minnesota","Males",2008,22.04,16.15
"Minnesota","Females",2008,18.87,13.72
"Minnesota","Both",2008,20.42,14.91
"Minnesota","Males",2009,22.01,15.85
"Minnesota","Females",2009,18.28,13.28
"Minnesota","Both",2009,20.11,14.54
"Minnesota","Males",2010,21.98,15.53
"Minnesota","Females",2010,18.19,13.06
"Minnesota","Both",2010,20.05,14.27
"Minnesota","Males",2011,22.22,15.67
"Minnesota","Females",2011,18.41,13.46
"Minnesota","Both",2011,20.28,14.55
"Minnesota","Males",2012,21,14.45
"Minnesota","Females",2012,17.46,12.46
"Minnesota","Both",2012,19.2,13.44
"Mississippi","Males",1996,30.69,25.75
"Mississippi","Females",1996,22.56,18.83
"Mississippi","Both",1996,26.55,22.23
"Mississippi","Males",1997,30.62,25.36
"Mississippi","Females",1997,22.66,18.69
"Mississippi","Both",1997,26.57,21.96
"Mississippi","Males",1998,30.58,24.98
"Mississippi","Females",1998,22.74,18.63
"Mississippi","Both",1998,26.59,21.75
"Mississippi","Males",1999,30.54,24.41
"Mississippi","Females",1999,23.21,18.71
"Mississippi","Both",1999,26.81,21.51
"Mississippi","Males",2000,30.6,24.2
"Mississippi","Females",2000,23.43,18.75
"Mississippi","Both",2000,26.95,21.43
"Mississippi","Males",2001,31.28,24.47
"Mississippi","Females",2001,23.63,18.9
"Mississippi","Both",2001,27.39,21.63
"Mississippi","Males",2002,31.78,24.46
"Mississippi","Females",2002,23.72,18.7
"Mississippi","Both",2002,27.67,21.53
"Mississippi","Males",2003,31.71,24.39
"Mississippi","Females",2003,23.71,18.5
"Mississippi","Both",2003,27.64,21.4
"Mississippi","Males",2004,31.47,24.1
"Mississippi","Females",2004,23.87,18.58
"Mississippi","Both",2004,27.6,21.29
"Mississippi","Males",2005,31.35,23.67
"Mississippi","Females",2005,24.18,18.57
"Mississippi","Both",2005,27.7,21.07
"Mississippi","Males",2006,30.64,23.05
"Mississippi","Females",2006,23.85,18.45
"Mississippi","Both",2006,27.18,20.71
"Mississippi","Males",2007,30.1,22.47
"Mississippi","Females",2007,23.71,18.23
"Mississippi","Both",2007,26.85,20.31
"Mississippi","Males",2008,30.41,22.61
"Mississippi","Females",2008,23.35,17.89
"Mississippi","Both",2008,26.82,20.21
"Mississippi","Males",2009,30.07,22.1
"Mississippi","Females",2009,22.8,17.38
"Mississippi","Both",2009,26.37,19.7
"Mississippi","Males",2010,29.32,21.02
"Mississippi","Females",2010,21.87,16.3
"Mississippi","Both",2010,25.52,18.62
"Mississippi","Males",2011,29.19,20.93
"Mississippi","Females",2011,21.65,16.04
"Mississippi","Both",2011,25.35,18.44
"Mississippi","Males",2012,28.39,20.05
"Mississippi","Females",2012,21.07,15.41
"Mississippi","Both",2012,24.66,17.69
"Missouri","Males",1996,31.13,27
"Missouri","Females",1996,26.18,22.68
"Missouri","Both",1996,28.61,24.8
"Missouri","Males",1997,30.82,26.33
"Missouri","Females",1997,26.04,22.31
"Missouri","Both",1997,28.39,24.28
"Missouri","Males",1998,30.69,25.86
"Missouri","Females",1998,26.01,22.06
"Missouri","Both",1998,28.31,23.92
"Missouri","Males",1999,30.71,25.37
"Missouri","Females",1999,25.82,21.67
"Missouri","Both",1999,28.22,23.48
"Missouri","Males",2000,30.84,25.24
"Missouri","Females",2000,25.71,21.34
"Missouri","Both",2000,28.23,23.26
"Missouri","Males",2001,30.87,25.1
"Missouri","Females",2001,25.62,21.21
"Missouri","Both",2001,28.2,23.12
"Missouri","Males",2002,30.38,24.28
"Missouri","Females",2002,25.23,20.27
"Missouri","Both",2002,27.76,22.23
"Missouri","Males",2003,30.45,24.2
"Missouri","Females",2003,25.35,20.24
"Missouri","Both",2003,27.85,22.19
"Missouri","Males",2004,29.85,23.67
"Missouri","Females",2004,25.15,20.06
"Missouri","Both",2004,27.46,21.83
"Missouri","Males",2005,28.99,22.7
"Missouri","Females",2005,24.99,19.79
"Missouri","Both",2005,26.96,21.22
"Missouri","Males",2006,28.51,22.19
"Missouri","Females",2006,25.08,19.66
"Missouri","Both",2006,26.76,20.9
"Missouri","Males",2007,27.94,21.69
"Missouri","Females",2007,25.07,19.65
"Missouri","Both",2007,26.48,20.65
"Missouri","Males",2008,27.58,21.43
"Missouri","Females",2008,24.68,19.38
"Missouri","Both",2008,26.1,20.39
"Missouri","Males",2009,27.34,21.05
"Missouri","Females",2009,24.34,19.17
"Missouri","Both",2009,25.82,20.09
"Missouri","Males",2010,27.5,20.93
"Missouri","Females",2010,24.18,18.77
"Missouri","Both",2010,25.81,19.83
"Missouri","Males",2011,27.36,20.72
"Missouri","Females",2011,23.73,18.39
"Missouri","Both",2011,25.51,19.54
"Missouri","Males",2012,26.54,19.82
"Missouri","Females",2012,23.11,17.7
"Missouri","Both",2012,24.79,18.74
"Montana","Males",1996,25.06,21.2
"Montana","Females",1996,22.81,19.75
"Montana","Both",1996,23.92,20.46
"Montana","Males",1997,24.98,20.85
"Montana","Females",1997,22.9,19.64
"Montana","Both",1997,23.92,20.24
"Montana","Males",1998,24.79,20.41
"Montana","Females",1998,22.99,19.49
"Montana","Both",1998,23.87,19.94
"Montana","Males",1999,24.62,19.79
"Montana","Females",1999,23.25,19.23
"Montana","Both",1999,23.92,19.5
"Montana","Males",2000,24.32,19.08
"Montana","Females",2000,23.36,18.98
"Montana","Both",2000,23.84,19.03
"Montana","Males",2001,24.29,18.66
"Montana","Females",2001,23.59,18.95
"Montana","Both",2001,23.94,18.81
"Montana","Males",2002,24.62,18.86
"Montana","Females",2002,23.8,18.86
"Montana","Both",2002,24.2,18.86
"Montana","Males",2003,24.51,18.52
"Montana","Females",2003,23.29,18.09
"Montana","Both",2003,23.89,18.3
"Montana","Males",2004,24.14,18.05
"Montana","Females",2004,22.95,17.56
"Montana","Both",2004,23.53,17.8
"Montana","Males",2005,23.86,17.66
"Montana","Females",2005,22.7,17.43
"Montana","Both",2005,23.27,17.54
"Montana","Males",2006,23.47,17.13
"Montana","Females",2006,22.2,16.81
"Montana","Both",2006,22.83,16.97
"Montana","Males",2007,22.93,16.69
"Montana","Females",2007,21.76,16.35
"Montana","Both",2007,22.33,16.52
"Montana","Males",2008,22.47,16.34
"Montana","Females",2008,21.29,15.85
"Montana","Both",2008,21.87,16.09
"Montana","Males",2009,22.56,16.35
"Montana","Females",2009,21.11,15.75
"Montana","Both",2009,21.82,16.04
"Montana","Males",2010,22.29,16.18
"Montana","Females",2010,20.42,14.92
"Montana","Both",2010,21.34,15.54
"Montana","Males",2011,22.7,16.55
"Montana","Females",2011,20.23,14.79
"Montana","Both",2011,21.44,15.65
"Montana","Males",2012,22.09,15.86
"Montana","Females",2012,19.76,14.26
"Montana","Both",2012,20.91,15.05
"Nebraska","Males",1996,27.75,23.35
"Nebraska","Females",1996,22.47,19.35
"Nebraska","Both",1996,25.07,21.31
